+----+-----------------------------------------------+---------------------+----------------------+
|    | name                                          |   original_quantity |   processed_quantity |
|----+-----------------------------------------------+---------------------+----------------------|
|  0 | WangchanThaiInstruct                          |               12254 |                12253 |
|  1 | ultrachat                                     |              207865 |               207865 |
|  2 | han                                           |                3200 |                 3200 |
|  3 | iapp_wiki_qa_squad                            |                5745 |                 5678 |
|  4 | math_50k                                      |               50000 |                49483 |
|  5 | commonsense_170k                              |              170420 |               162673 |
|  6 | wangchanglm                                   |              405760 |               308389 |
|  7 | tiny_code                                     |             1632309 |               363766 |
|  8 | flan_v2                                       |              373681 |                96422 |
|  9 | cot_v2                                        |              373681 |               355073 |
| 10 | alt                                           |               18088 |                18088 |
| 11 | thaisum                                       |              358868 |               358737 |
| 12 | scb_enth                                      |              801402 |               801013 |
| 13 | xp3x                                          |              303148 |               296066 |
| 14 | platypus                                      |               24926 |                18338 |
| 15 | wisesight_sentiment                           |               21628 |                21151 |
| 16 | thai_food                                     |                 159 |                  159 |
| 17 | thai_wiki_dataset_v3                          |              196533 |               193095 |
| 18 | klongklon                                     |               57600 |                50520 |
| 19 | thai_usembassy                                |                 615 |                  615 |
| 20 | wongnai_reviews                               |               40000 |                39998 |
| 21 | tacas61                                       |                 124 |                  123 |
| 22 | review_shopping                               |                 128 |                  128 |
| 23 | general_amy                                   |                  90 |                   90 |
| 24 | thai_english_transliteration_dictionary       |                3868 |                 3848 |
| 25 | prd_news_30112023                             |              242985 |               241360 |
| 26 | aya_dataset                                   |              202364 |                  707 |
| 27 | aya_collection_templated_xlel_wd              |             4626407 |                10612 |
| 28 | =================== total =================== |            10133848 |              3619450 |
+----+-----------------------------------------------+---------------------+----------------------+
