+----+-----------------------------------------------+---------------------+----------------------+
|    | name                                          |   original_quantity |   processed_quantity |
|----+-----------------------------------------------+---------------------+----------------------|
|  0 | WangchanThaiInstruct                          |                5014 |                 5014 |
|  1 | ultrachat                                     |              207865 |               207865 |
|  2 | han                                           |                3200 |                 3200 |
|  3 | iapp_wiki_qa_squad                            |                5745 |                 5692 |
|  4 | math_50k                                      |               50000 |                49689 |
|  5 | commonsense_170k                              |              170420 |               166357 |
|  6 | wangchanglm                                   |              405760 |               308692 |
|  7 | tiny_code                                     |             1632309 |               363772 |
|  8 | flan_v2                                       |              373681 |                96471 |
|  9 | cot_v2                                        |              373681 |               364427 |
| 10 | alt                                           |               18088 |                18088 |
| 11 | thaisum                                       |              358868 |               358811 |
| 12 | scb_enth                                      |              801402 |               801183 |
| 13 | xp3x                                          |              303148 |               299044 |
| 14 | platypus                                      |               24926 |                18392 |
| 15 | wisesight_sentiment                           |               21628 |                21151 |
| 16 | thai_food                                     |                 159 |                  159 |
| 17 | thai_wiki_dataset_v3                          |              196533 |               194012 |
| 18 | klongklon                                     |               57600 |                54042 |
| 19 | thai_usembassy                                |                 615 |                  615 |
| 20 | wongnai_reviews                               |               40000 |                39999 |
| 21 | tacas61                                       |                 124 |                  123 |
| 22 | review_shopping                               |                 128 |                  128 |
| 23 | general_amy                                   |                  90 |                   90 |
| 24 | thai_english_transliteration_dictionary       |                3868 |                 3860 |
| 25 | prd_news_30112023                             |              242985 |               242159 |
| 26 | aya_dataset                                   |              202364 |                  716 |
| 27 | aya_collection_templated_xlel_wd              |             4626407 |                10712 |
| 28 | =================== total =================== |            10126608 |              3634463 |
+----+-----------------------------------------------+---------------------+----------------------+
