+----+-----------------------------------------------+---------------------+----------------------+
|    | name                                          |   original_quantity |   processed_quantity |
|----+-----------------------------------------------+---------------------+----------------------|
|  0 | ultrachat                                     |              207865 |               207865 |
|  1 | han                                           |                3200 |                 3200 |
|  2 | iapp_wiki_qa_squad                            |                5745 |                 5692 |
|  3 | math_50k                                      |               50000 |                49689 |
|  4 | commonsense_170k                              |              170420 |               166357 |
|  5 | wangchanglm                                   |              405760 |               308692 |
|  6 | tiny_code                                     |             1632309 |               363772 |
|  7 | flan_v2                                       |              373681 |                96471 |
|  8 | cot_v2                                        |              373681 |               364427 |
|  9 | alt                                           |               18088 |                18088 |
| 10 | thaisum                                       |              358868 |               358811 |
| 11 | scb_enth                                      |              801402 |               801183 |
| 12 | xp3x                                          |              303148 |               299044 |
| 13 | platypus                                      |               24926 |                18392 |
| 14 | wisesight_sentiment                           |               21628 |                21151 |
| 15 | thai_food                                     |                 159 |                  159 |
| 16 | thai_wiki_dataset_v3                          |              196533 |               194012 |
| 17 | klongklon                                     |               57600 |                54042 |
| 18 | thai_usembassy                                |                 615 |                  615 |
| 19 | wongnai_reviews                               |               40000 |                39999 |
| 20 | tacas61                                       |                 124 |                  123 |
| 21 | review_shopping                               |                 128 |                  128 |
| 22 | general_amy                                   |                  90 |                   90 |
| 23 | thai_english_transliteration_dictionary       |                3868 |                 3860 |
| 24 | prd_news_30112023                             |              242985 |               242159 |
| 25 | aya_dataset                                   |              202364 |                  716 |
| 26 | aya_collection_templated_xlel_wd              |             4626407 |                10712 |
| 27 | =================== total =================== |            10121594 |              3629449 |
+----+-----------------------------------------------+---------------------+----------------------+
